Data,Timestamp,Wall_Time,MPU_Temp,IMU_Ax,IMU_Ay,IMU_Az,IMU_Gx,IMU_Gy,IMU_Gz,MSU_Ax,MSU_Ay,MSU_Az,Baro_Temp,Baro
0,1539391063.4245255,2018-10-13_083743,45.731,0.107,-0.057,0.945,-0.74,-0.107,-0.458,53.594,-27.593,83.174,43.21,1019.4596875
1,1539391063.6368122,2018-10-13_083743,45.773,0.111,-0.056,0.948,-0.87,-0.229,-0.397,0,0,0,43.21,1019.4657421875
2,1539391063.775797,2018-10-13_083743,45.8,0.107,-0.057,0.95,-0.778,-0.137,-0.519,54.475,-27.417,83.004,43.21,1019.4662109375
3,1539391063.9011493,2018-10-13_083743,45.797,0.107,-0.059,0.949,-0.809,-0.183,-0.42,54.299,-27.24,83.515,43.22,1019.4715234375
4,1539391064.0262973,2018-10-13_083744,45.8,0.109,-0.056,0.948,-0.71,-0.183,-0.42,53.418,-26.355,81.64,43.22,1019.4841015625
5,1539391064.1511586,2018-10-13_083744,45.806,0.106,-0.059,0.948,-0.908,-0.175,-0.549,53.594,-27.24,79.765,43.22,1019.489296875
6,1539391064.2710626,2018-10-13_083744,45.833,0.106,-0.058,0.948,-0.816,-0.137,-0.542,52.712,-25.648,81.299,43.22,1019.4862109375
7,1539391064.3932378,2018-10-13_083744,45.83,0.109,-0.059,0.949,-0.87,-0.168,-0.549,53.946,-27.24,82.151,43.22,1019.4836328125
8,1539391064.5129943,2018-10-13_083744,45.839,0.108,-0.059,0.947,-0.832,-0.282,-0.374,53.77,-25.648,82.322,43.22,1019.4883984375
9,1539391064.6489794,2018-10-13_083744,45.824,0.108,-0.058,0.946,-0.664,-0.099,-0.351,53.594,-26.178,81.81,43.23,1019.4974609375
10,1539391064.7710543,2018-10-13_083744,45.803,0.108,-0.057,0.947,-0.992,-0.328,-0.473,51.126,-25.825,81.81,43.22,1019.4953515625
11,1539391064.8995004,2018-10-13_083744,45.827,0.107,-0.058,0.95,-0.931,-0.122,-0.45,54.123,-27.77,81.299,43.22,1019.483203125
12,1539391065.0303457,2018-10-13_083745,45.83,0.108,-0.057,0.946,-0.832,-0.198,-0.45,52.536,-25.471,81.47,43.22,1019.471484375
13,1539391065.153805,2018-10-13_083745,45.824,0.108,-0.057,0.947,-0.839,-0.107,-0.542,52.36,-24.586,81.64,43.23,1019.46890625
