Data,Timestamp,Wall_Time,MPU_Temp,IMU_Ax,IMU_Ay,IMU_Az,IMU_Gx,IMU_Gy,IMU_Gz,MSU_Ax,MSU_Ay,MSU_Az,Baro_Temp,Baro
0,1539402965.9693356,2018-10-13_115605,41.819,-0.163,0.034,0.941,-0.778,-0.168,-0.587,23.8,80.481,-20.282,39.43,1017.8321484375
1,1539402965.9845228,2018-10-13_115605,41.834,-0.16,0.034,0.943,-0.832,-0.198,-0.565,24.681,80.658,-18.748,39.43,1017.8321484375
2,1539402965.9989436,2018-10-13_115605,41.87,-0.164,0.034,0.942,-0.954,-0.038,-0.473,23.976,79.596,-17.726,39.43,1017.8321484375
3,1539402966.0135682,2018-10-13_115606,41.87,-0.162,0.032,0.944,-0.786,-0.107,-0.465,23.8,79.42,-15.851,39.45,1017.830703125
4,1539402966.0280151,2018-10-13_115606,41.864,-0.161,0.033,0.944,-0.809,-0.099,-0.458,23.976,79.95,-19.43,39.45,1017.830703125
5,1539402966.0432281,2018-10-13_115606,41.882,-0.163,0.036,0.942,-0.732,0.038,-0.549,23.447,81.188,-16.873,39.45,1017.830703125
6,1539402966.057703,2018-10-13_115606,41.852,-0.162,0.034,0.946,-0.839,-0.145,-0.496,26.092,81.719,-18.748,39.45,1017.830703125
7,1539402966.072366,2018-10-13_115606,41.873,-0.161,0.035,0.943,-0.793,-0.053,-0.618,24.329,80.658,-18.748,39.45,1017.818671875
8,1539402966.0867054,2018-10-13_115606,41.882,-0.161,0.036,0.946,-0.893,0.046,-0.504,25.034,82.073,-17.385,39.45,1017.822578125
9,1539402966.1010363,2018-10-13_115606,41.888,-0.16,0.034,0.94,-0.824,-0.175,-0.412,24.329,81.365,-18.407,39.45,1017.822578125
10,1539402966.1153002,2018-10-13_115606,41.867,-0.16,0.033,0.944,-0.839,-0.282,-0.496,24.152,81.188,-19.6,39.45,1017.822578125
11,1539402966.1295714,2018-10-13_115606,41.9,-0.161,0.036,0.943,-0.862,0.137,-0.61,25.21,80.835,-18.237,39.45,1017.822578125
12,1539402966.1438382,2018-10-13_115606,41.888,-0.162,0.035,0.942,-0.824,0.015,-0.427,25.387,81.365,-17.726,39.46,1017.841328125
13,1539402966.1581135,2018-10-13_115606,41.924,-0.161,0.034,0.944,-0.809,-0.168,-0.496,24.681,81.365,-18.407,39.46,1017.841328125
14,1539402966.1724427,2018-10-13_115606,41.906,-0.162,0.035,0.94,-0.954,-0.061,-0.481,24.681,79.596,-18.066,39.46,1017.841328125
15,1539402966.1867125,2018-10-13_115606,41.891,-0.16,0.033,0.942,-0.687,0.061,-0.443,23.976,81.012,-19.43,39.46,1017.841328125
16,1539402966.2008796,2018-10-13_115606,41.888,-0.16,0.032,0.943,-0.771,-0.069,-0.458,22.918,81.012,-17.726,39.46,1017.841328125
17,1539402966.2151256,2018-10-13_115606,41.927,-0.16,0.034,0.945,-0.87,-0.069,-0.412,23.976,81.012,-19.089,39.47,1017.8303515625
18,1539402966.229679,2018-10-13_115606,41.912,-0.164,0.038,0.943,-0.969,0.092,-0.534,23.447,81.542,-19.26,39.47,1017.8303515625
19,1539402966.243998,2018-10-13_115606,41.912,-0.164,0.036,0.943,-0.694,-0.092,-0.496,24.505,80.835,-20.623,39.47,1017.8303515625
20,1539402966.2582462,2018-10-13_115606,41.924,-0.162,0.036,0.945,-0.61,-0.107,-0.534,23.8,80.835,-19.6,39.47,1017.8303515625
21,1539402966.2726471,2018-10-13_115606,41.948,-0.161,0.035,0.942,-0.847,0.16,-0.572,24.858,80.127,-19.26,39.47,1017.851015625
22,1539402966.2869556,2018-10-13_115606,41.924,-0.161,0.035,0.944,-0.725,-0.298,-0.504,25.034,81.012,-18.748,39.47,1017.8588671875
23,1539402966.3013995,2018-10-13_115606,41.927,-0.159,0.034,0.945,-0.908,-0.153,-0.481,23.447,80.127,-19.6,39.47,1017.8588671875
24,1539402966.3156846,2018-10-13_115606,41.945,-0.161,0.036,0.942,-0.87,0.183,-0.534,23.976,81.012,-18.407,39.47,1017.8588671875
25,1539402966.3300107,2018-10-13_115606,41.927,-0.162,0.034,0.943,-0.771,-0.229,-0.397,25.034,81.365,-19.089,39.47,1017.8588671875
26,1539402966.344327,2018-10-13_115606,41.957,-0.163,0.033,0.947,-0.74,-0.084,-0.488,25.034,80.304,-19.771,39.47,1017.8346875
27,1539402966.3586462,2018-10-13_115606,41.96,-0.164,0.033,0.94,-0.885,0.137,-0.534,23.271,79.95,-20.112,39.47,1017.8346875
28,1539402966.3730607,2018-10-13_115606,41.936,-0.159,0.032,0.944,-0.839,-0.076,-0.427,23.095,81.188,-19.26,39.47,1017.8346875
29,1539402966.3874314,2018-10-13_115606,41.969,-0.161,0.034,0.946,-0.893,-0.259,-0.61,25.387,80.658,-19.089,39.47,1017.8346875
30,1539402966.4016678,2018-10-13_115606,41.942,-0.16,0.035,0.947,-0.816,0.008,-0.565,25.034,81.012,-18.407,39.47,1017.8346875
31,1539402966.4159963,2018-10-13_115606,41.981,-0.163,0.035,0.94,-0.946,-0.031,-0.481,24.152,81.896,-19.26,39.48,1017.861484375
32,1539402966.4302838,2018-10-13_115606,41.972,-0.163,0.034,0.944,-0.839,-0.351,-0.496,23.976,80.304,-19.089,39.48,1017.861484375
33,1539402966.4446328,2018-10-13_115606,41.951,-0.164,0.036,0.946,-0.809,0.023,-0.496,22.918,80.304,-20.453,39.48,1017.861484375
34,1539402966.4589305,2018-10-13_115606,41.966,-0.162,0.037,0.943,-0.839,0.069,-0.519,23.095,81.542,-19.26,39.48,1017.861484375
35,1539402966.473384,2018-10-13_115606,41.945,-0.16,0.033,0.948,-0.717,-0.366,-0.504,23.976,82.073,-18.748,39.48,1017.8459765625
36,1539402966.4876728,2018-10-13_115606,41.99,-0.161,0.034,0.941,-0.854,0.099,-0.511,25.563,80.835,-19.941,39.48,1017.8459765625
37,1539402966.5019739,2018-10-13_115606,41.963,-0.163,0.036,0.941,-1.076,0.0,-0.587,23.8,80.127,-19.941,39.48,1017.8459765625
38,1539402966.5163815,2018-10-13_115606,41.996,-0.161,0.032,0.948,-0.809,-0.42,-0.435,24.681,80.658,-18.748,39.48,1017.8459765625
39,1539402966.5306447,2018-10-13_115606,42.002,-0.16,0.037,0.945,-0.832,-0.069,-0.526,24.329,81.719,-19.771,39.48,1017.8459765625
40,1539402966.5449739,2018-10-13_115606,41.987,-0.163,0.036,0.944,-0.9,0.023,-0.61,24.152,79.773,-18.237,39.48,1017.83484375
41,1539402966.559291,2018-10-13_115606,41.99,-0.163,0.034,0.944,-0.671,-0.29,-0.549,24.681,81.365,-18.748,39.48,1017.83484375
42,1539402966.5737028,2018-10-13_115606,42.008,-0.162,0.036,0.944,-0.74,-0.053,-0.504,23.624,81.012,-19.089,39.48,1017.83484375
